bucket,bleu,number
3-7,8.04,26
7-9,2.85,26
9-11,3.54,32
11-13,14.73,28
13-15,8.41,20
15-20,6.16,35
20-23,7.27,29
23-28,7.16,27
28-38,10.33,32
38-78,12.49,29
