bucket,bleu,number
3-7,9.16,26
7-9,7.08,26
9-11,3.2,32
11-13,16.21,28
13-15,7.13,20
15-20,7.09,35
20-23,8.15,29
23-28,8.98,27
28-38,12.07,32
38-78,9.02,29
