bucket,bleu,number
3-7,10.94,26
7-9,1.07,26
9-11,4.2,32
11-13,9.0,28
13-15,6.82,20
15-20,6.27,35
20-23,6.37,29
23-28,7.99,27
28-38,11.79,32
38-78,9.15,29
